cx,cy,cyaw
-71.2865239738352,130.976181081111,-1.48119740949037
-71.2778383662045,130.876578850689,-1.48648517531791
-71.2696765472415,130.776926434942,-1.49149768814906
-71.2619629392476,130.677230980347,-1.49548862067593
-71.2545957209766,130.577502127933,-1.49845641031166
-71.2474730679519,130.477749519038,-1.50040138866181
-71.2404931556968,130.377982794998,-1.50132382818646
-71.2335541597345,130.278211597151,-1.5012238812417
-71.2265542555884,130.178445566832,-1.50010155119748
-71.2193916187818,130.07869434538,-1.49795669557559
-71.211964424838,129.97896757413,-1.49478906120964
-71.2041708492802,129.879274894419,-1.49059835148501
-71.1959090676318,129.779625947585,-1.4853843257449
-71.1870815238173,129.680029969479,-1.4793897558958
-71.1776763533493,129.580488055495,-1.47391108529694
-71.1677609741453,129.480993769429,-1.46913991533501
-71.1574057882582,129.381540391592,-1.46507636450731
-71.1466811977411,129.282121202293,-1.46172040338293
-71.135657604647,129.182729481843,-1.45907191564846
-71.1244054110289,129.083358510553,-1.45713074851501
-71.11299501894,128.984001568732,-1.45589675247248
-71.1014968304332,128.884651936691,-1.45536981040204
-71.0899812475616,128.78530289474,-1.45554985606707
-71.0785186723781,128.685947723191,-1.45643688200185
-71.067179506936,128.586579702352,-1.45803093680855
-71.0560341532881,128.487192112535,-1.46033211186214
-71.0451454655318,128.387778978129,-1.46302339001823
-71.0345029412778,128.288341555032,-1.46523879414769
-71.0240547937323,128.188885168969,-1.4669290555972
-71.0137487748256,128.08941519114,-1.46809413524303
-71.0035326364879,127.989936992744,-1.46873400988843
-70.9933541306495,127.890455944979,-1.46884866262392
-70.9831610092406,127.790977419044,-1.4684380775324
-70.9729010241914,127.69150678614,-1.46750223874039
-70.9625219274323,127.592049417464,-1.46604113381637
-70.9519714708934,127.492610684217,-1.46405476151704
-70.941197406505,127.393195957596,-1.46154314388118
-70.9301474861973,127.293810608801,-1.45850634266837
-70.9187804952208,127.194458863398,-1.45535437031041
-70.9071337415195,127.095136793623,-1.45289927807278
-70.8952785790286,126.995836936584,-1.45116300708252
