cx,cy,cyaw
-37.6604438448324,158.339503778177,-3.03296976016427
-37.759845921937,158.32861780971,-3.03208511213735
-37.8592399332126,158.317652536465,-3.03137548187031
-37.9586278042371,158.306625352363,-3.03084086671198
-38.0580114605887,158.295553651323,-3.03048126316466
-38.1573928278455,158.284454827265,-3.03029666737542
-38.2567738315855,158.273346274108,-3.03028707546646
-38.3561563973869,158.262245385774,-3.03045248370478
-38.4555424508276,158.25116955618,-3.03079288851095
-38.5549339174859,158.240136179248,-3.03130828630716
-38.6543327229397,158.229162648896,-3.03199867320446
-38.7537407927672,158.218266359046,-3.03286404452934
-38.8531600525465,158.207464703615,-3.03390439418958
-38.9525924278555,158.196775076525,-3.03511971387947
-39.0520396635996,158.186213311048,-3.03643220765202
-39.1515008630173,158.175772421805,-3.0375287592118
-39.250973126906,158.16542812638,-3.03837646478026
-39.3504535063188,158.155155712672,-3.03897533870567
-39.4499390523093,158.144930468578,-3.03932539119637
-39.5494268159308,158.134727681995,-3.03942662720891
-39.6489138482365,158.12452264082,-3.03927904579804
-39.7483972002799,158.114290632952,-3.03888263992857
-39.8478739231143,158.104006946288,-3.03823739674902
-39.9473410677931,158.093646868724,-3.03734329832713
-40.0467956853695,158.08318568816,-3.03620032284766
-40.146234826897,158.072598692491,-3.03480844627269
-40.245655543429,158.061861169617,-3.03316764446496
-40.3450548860186,158.050948407433,-3.03127789577463
-40.4444299057194,158.039835693838,-3.02913918408973
-40.5437776535846,158.028498316729,-3.02675150235029
-40.6430951806676,158.016911564004,-3.02411485652587
-40.7423795380217,158.00505072356,-3.02122927005551
-40.8416277767004,157.992891083294,-3.01809478874842
-40.9408376593493,157.980413833556,-3.01492582036488
-41.04001169644,157.967639546517,-3.01211835639645
-41.1391543416307,157.954604912515,-3.00968111107784
-41.2382700544153,157.941346670292,-3.00761405846251
-41.3373632942878,157.927901558592,-3.00591715896361
-41.4364385207421,157.914306316158,-3.00459036785145
-41.535500193272,157.900597681732,-3.00363364222635
-41.6345527713716,157.886812394058,-3.00304694646807
-41.7336007145347,157.872987191877,-3.00283025616346
-41.8326484822552,157.859158813933,-3.00298356051416
-41.9317005340271,157.845363998968,-3.00350686322546
-42.0307613293443,157.831639485726,-3.00440018187701
-42.1298353277007,157.81802201295,-3.00566354577485
-42.2289269885902,157.804548319381,-3.00729699228414
-42.3280407715067,157.791255143764,-3.00930056164067
