%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
0,45,0,,6.02050709013,1.16683457554,-0.876467829806,-0.00562327110834,0.0669214154795,0.0222664987284,0.997493912767
0,46,0,,6.17891649777,1.16201384312,-0.898426541278,-0.00558739568654,0.0670438461991,0.0125585729279,0.997655344266
0,47,0,,6.28245531493,1.14025401309,-0.921620869472,-0.00637408765322,0.0669802152126,0.00311755079837,0.997729072772
0,48,0,,6.41536953667,1.12093619657,-0.930345154045,-0.00736185221086,0.067399318528,-0.00613690007184,0.997680045632
0,49,0,,6.53212748726,1.09662802089,-0.965935989383,-0.00835792617098,0.068540273624,-0.015334723387,0.997495474787
0,50,0,,6.64333301716,1.07443422336,-0.979657426339,-0.00888441294895,0.0692375132456,-0.0244844149223,0.997260120225
0,51,0,,6.77553113931,1.0438274361,-0.997698599087,-0.00930753750642,0.0687904176377,-0.03384166589,0.997013535433
0,52,0,,6.91210902864,1.00557217464,-1.01624390585,-0.00984225836,0.0686084077859,-0.0434817780555,0.996647054533
0,53,0,,7.04386338951,0.958523299459,-1.03872912312,-0.0106240788981,0.0688505893168,-0.0529705159068,0.996163063832
0,54,0,,7.1845451811,0.911506041516,-1.05950125084,-0.0118473519772,0.0693135279682,-0.0623909869446,0.995571514177
0,55,0,,7.3129018472,0.873021217478,-1.09569395145,-0.0113698005182,0.0693715288132,-0.07137222525,0.994969509125
0,56,0,,7.44750019537,0.82731749069,-1.10164375879,-0.0128546818193,0.0695126696113,-0.0805065576652,0.994244155171
0,57,0,,7.57648732534,0.792491728709,-1.13977347782,-0.0127980983494,0.0694026797495,-0.0889184551296,0.993535598285
0,58,0,,7.69244020173,0.740727240673,-1.14394851229,-0.0130450035078,0.0694172474135,-0.0977793434804,0.992698480725
0,59,0,,7.81374695194,0.71118936413,-1.17021370952,-0.0131561503796,0.0692947037653,-0.106299497862,0.991829408967
0,60,0,,7.92579301567,0.662102728709,-1.18726284487,-0.0137472660437,0.0693232562574,-0.114546914564,0.990900753447
0,61,0,,8.05928287933,0.616225892135,-1.19219062495,-0.0133906673295,0.0693119012591,-0.123265672295,0.989859648842
0,62,0,,8.18434720435,0.556239867675,-1.21549649818,-0.0146616584859,0.069511197978,-0.131508125855,0.988766323233
0,63,0,,8.30548005376,0.501641275197,-1.2240045932,-0.0153495048688,0.0689215858282,-0.139693282561,0.98767403252
0,64,0,,8.41506186641,0.434769202873,-1.24688054722,-0.015543481325,0.0694286057915,-0.147919582893,0.986436954845
0,65,0,,8.53860364028,0.386048769288,-1.27288645648,-0.0174129788113,0.0698498594656,-0.156492664563,0.985052197216
0,66,0,,8.65930277934,0.323216860668,-1.29617138108,-0.0179348028164,0.0699587969876,-0.165008319793,0.983644429645
0,67,0,,8.77992415433,0.260776557622,-1.30943100403,-0.0194032841753,0.0702534103698,-0.173274806967,0.982173005211
